tweet id,user id,username,content,sentiment,target,annotator id,comment,dispute
10237553563,69128478,,RT @angelsmomaw: #HCR is unwanted because it will bankrupt the USA and give below inferior Healthcare for all. #gop #tcot #tweetcongress, negative, hcr,aluckhardt
10239984258,7713202,GOPLeader,RT @WMRepublicans President's Remarks Yesterday Don't Match Reality: Dems' Bills INCREASE Premiums http://bit.ly/9Klc8V #hcr, negative, hcr,aluckhardt
10240791063,34927577,cnsnews_com,RT @johnboehner: Pelosi on #HCR: ''We have to pass the bill so that you can find out what is in it'' http://is.gd/a4BPT, negative, dems,aluckhardt
10253203734,16930489,ExJon,"RT @vermontaigne Cancer patient died after 58,000 X-ray backlog | Irish Examiner: http://bit.ly/dwStxf via @addthis #hcr #m9", negative, hcr,aluckhardt,"Factual, but wait times were a prominent criticism of hcr and #hcr is present."
10255459398,15350894,LJSearles,"RT @HealthReformNow: As the President said to Republicans, #YouHad10Yrs. See what you'll get with #hcr immediately http://go.usa.gov/lFe", negative, gop,aluckhardt,Also positive for hcr.
10255930511,21280367,kiliffe,#tcot oppose #hcr because they fear that 'brown people' will get something they feel that they alone are entitled to., negative,conservatives,aluckhardt
10268857013,45648676,Rainbow892,RT @thebighoot Barack Obama delivers remarks at St. Louis high school on #HCR but wont take & answer Qs from adult! #tcot #teaparty #p2, negative,obama,aluckhardt
10284982547,21964694,EzKool,Grandma is Safe with this Health Care Bill - http://bit.ly/cTCm6Y #p2 #tcot #gop #hcr, negative,conservatives,aluckhardt,"Because ""death panels"" were a criticism associated with prominent conservatives. Could also be teaparty."
10286758830,43977798,Liam_Fox,Ten Wrong Reasons to Oppose Health Reform -- Politics Daily http://ow.ly/1gIYI #hcr, negative,conservatives,aluckhardt,Not necessarily positive for hcr because only claims that often-cited criticisms are incorrect.
10287678432,71941447,Dudeman1962,"Make no mistake, the #hcr legislation is nothing but a series of dirty tricks. SOP for progressives. #tcot #tpp #tea #p2 #sgp #socialism", negative, hcr,aluckhardt
10287773768,18464266,peterdaou,By what logic does pushing a #hcr bill and dropping it earn you more votes than pushing a #hcr bill and passing it?, negative,obama,aluckhardt,Could be dems instead.
10294219761,35039919,Pkatt,if people werent so brainwashed we could find a solution that wont sell us out to the people who will take advantage  #hcr #hc09 #healthcare, negative, other,aluckhardt,"I can't tell if the ""brainwashed"" are supporters or opponents of hcr. Could be opposed to dems weakening hcr in reconciliation. Or opponents could be derailing needed change."
10296807551,22643800,hipEchik,"Ronald Reagan On Socialized Medicine 1961 : http://tinyurl.com/mqtuoq MUST Listen #tcot #hcr If you have heard it, pls listen again!", negative, hcr,aluckhardt,"""Socialized"" carried negative connotation for hcr."
10250669782,32191750,Tikkun44,40 Senators have now committed to vote ''yes'' to passing the #publicoption through #reconciliation http://bit.ly/aM3fR4 #hcr #po, neutral, hcr,aluckhardt
10290103232,22080314,bryaneder,Pelosi says House has votes for health reform if vote were held today. http://bit.ly/dzbXoh #HCR, neutral, hcr,aluckhardt
10250616855,21130327,KateRoseMe,Every1 deserves access 2 better healthcare like Sarah Palin got as a child!Sign Petition 4 #HCR http://bit.ly/3GsRB9 #p2,positive, hcr,aluckhardt,"Also negative for Palin, as tweet implies hypocrisy on her part."
10255992832,23825051,webmiss007,"RT @jodotcom: Folks, if we don't pass #hcr now, it will be 30 more yrs before we get another chance; let's don't mess it up.",positive, hcr,aluckhardt
10272412959,25777000,kjlintner,Corey Haim is dead.  I wonder how many Americans w/o Health Care will die today & go unmentioned? #p2 #tcot #hcr,positive, hcr,aluckhardt
10290782310,41373006,sarahlee310,AP Health Care Poll: Only FOUR PERCENT Of Americans Don't Want Any Reform http://bit.ly/9rYbqR #HCR #p2,positive, hcr,aluckhardt,"All caps emphasizes sentiment in this factual tweet. Could be negative for conservatives, who suggested that more than 4% didn't want reform."
10296651867,64816476,BlondeAmerican,The #teaparty protesters & Anti- #HCR protesters outnumbered the Obama supporters. I'm proud of the people of Missouri.,positive,teaparty,aluckhardt
9959331913,23825051,webmiss007,#Healthcare #Ins. Cigna denies #MD prescribed #tx 2 customers 20% of the time. - http://bit.ly/5PoQfo #HCR #Passit #ILDems #p2 PLS RT,irrelevant,other ,AMahmud,advertising 
9946829766,17388022,,RW so pissed over #hcr they think ppl will vote against Dems. Ppl would vote for ths who care abt ''we the people'' not ''GOP the people'' #p2,negative,gop,AMahmud
9898405633,17971455,toddeherman,"President announces he doesn't give a damn what America thinks, or how bad #ObamaCare is http://is.gd/9yY0N #hcr #tcot",negative ,obama ,AMahmud
9915233477,91824727,BlockTax,RT @MikeBlockCPA: Can They Make Obamacare Worse? Yes They Can! COMPROMISE HELL! http://ow.ly/1aoV2 limbaugh #hcr,negative ,hcr,AMahmud
9941134669,16887628,mattklewis,He repeated discredited talking points with a straight face.'' - Rep. Boehner on Pres. Obama's #HCR speech today,negative ,obama,AMahmud
9941460369,60994766,StopBlue,McConnell: ''What we know about the health care bill is people don't want it passed.'' #tcot #hcr (via @Senate_GOPs),negative ,hcr,AMahmud,negative toward health care reform 
9945515119,19326476,BrettR4763,RT @Marnus3: Maybe Obama could trick some republicans into voting for the #hcr bill by covering it in blank sheets of paper. #p2 #hcr #ACORN,negative ,hcr,AMahmud,Sarcastic?
9951361736,63065243,OsborneInk,"#GOPcodered They know America needs #HCR, they just don't want Obama to be the one who does it #p2 #tlot",negative ,gop,AMahmud
9971475686,17809507,AP_Mobile,Stupak: 12 Dems ready to oppose health care bill http://bit.ly/avqbZW #hcr,negative ,hcr ,AMahmud
